state,effective_date,company_name,line_of_business,sub_type_of_insurance,overall_indicated_change,overall_rate_impact,written_premium_change,policyholders_affected,written_premium_for_program,maximum_percent_change,minimum_percent_change,rate_activity,serff_tracking_number,disposition_status,filing_date,source_pdf
WA,02/21/2026,Safeco Insurance Company of America,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,-3.100%,-3.300%,-273240,36921,8303864,0.000%,-37.500%,rate_change,LBPM-134745236,Approved,2025-12-26,output/pdfs/WA/134745236/filing_summary.pdf
WA,12/15/2025,State Farm Fire and Casualty Company,04.0 Homeowners,04.0005 Other Homeowners,,21.500%,10650679,59070,49543045,22.800%,0.000%,rate_change,SFMA-134315085,Approved,2024-11-27,output/pdfs/WA/134315085/filing_summary.pdf
WA,04/15/2026,State Farm Fire and Casualty Company,04.0 Homeowners,04.0005 Other Homeowners,,93.700%,2706726,8405,2888541,108.400%,31.400%,rate_change,SFMA-134315091,Approved,2024-11-27,output/pdfs/WA/134315091/filing_summary.pdf
WA,08/01/2025,State Farm Fire and Casualty Company,04.0 Homeowners,04.0002 Mobile Homeowners,,23.900%,3367834,17873,14091908,27.700%,5.100%,rate_change,SFMA-134422784,Approved,2025-02-26,output/pdfs/WA/134422784/filing_summary.pdf
WA,02/08/2025,The Travelers Home and Marine Insurance Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,31.500%,21.100%,10657508,39456,50509518,33.400%,0.000%,rate_change,TRVD-G134262689,Approved,2024-10-02,output/pdfs/WA/134270699/filing_summary.pdf
WA,02/08/2025,Travelers Commercial Insurance Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,31.500%,21.400%,636936,2461,2976338,32.600%,0.000%,rate_change,TRVD-G134262689,Approved,2024-10-02,output/pdfs/WA/134270699/filing_summary.pdf
WA,03/30/2025,The Travelers Home and Marine Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,2483,4953073,0.000%,0.000%,rate_change,TRVD-G134336116,Approved,2024-12-19,output/pdfs/WA/134358134/filing_summary.pdf
CO,01/23/2025,Allstate Indemnity Company,04.0 Homeowners,04.0001 Condominium Homeowners,10.900%,10.900%,249525,2870,2289687,26.200%,5.500%,rate_change,ALSE-134277277,Filed,2024-10-08,output/pdfs/CO/134277277/filing_summary.pdf
CO,01/23/2025,Allstate Indemnity Company,04.0 Homeowners,04.0002 Mobile Homeowners,17.000%,17.000%,325573,1106,1915852,19.100%,12.000%,rate_change,ALSE-134280614,Filed,2024-10-11,output/pdfs/CO/134280614/filing_summary.pdf
CO,01/23/2025,Allstate Indemnity Company,04.0 Homeowners,04.0004 Tenant Homeowners,7.400%,7.400%,371282,30239,4996326,9.100%,3.400%,rate_change,ALSE-134280632,Filed,2024-10-11,output/pdfs/CO/134280632/filing_summary.pdf
CO,01/23/2025,Allstate Vehicle and Property Insurance Company,04.0 Homeowners,04.0001 Condominium Homeowners,18.300%,18.300%,2922065,18535,15966788,26.800%,6.700%,rate_change,ALSE-134335798,Filed,2024-11-27,output/pdfs/CO/134335798/filing_summary.pdf
CO,06/07/2025,Allstate Fire and Casualty Insurance Company,19.0 Personal Auto,19.0004 Other,15.800%,15.700%,722526,8983,4596808,20.000%,0.000%,rate_change,ALSE-134493023,Filed,2025-04-10,output/pdfs/CO/134493023/filing_summary.pdf
CO,06/16/2025,Allstate Fire and Casualty Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,0,454172309,0.000%,0.000%,rate_change,ALSE-134493741,Filed,2025-04-11,output/pdfs/CO/134493741/filing_summary.pdf
CO,09/04/2025,Allstate Fire and Casualty Insurance Company,04.0 Homeowners,04.0003 Owner Occupied Homeowners,8.900%,8.900%,2774560,8132,31174837,9.200%,7.100%,rate_change,ALSE-134603438,Filed,2025-07-14,output/pdfs/CO/134603438/filing_summary.pdf
CO,09/04/2025,Allstate Vehicle and Property Insurance Company,04.0 Homeowners,04.0003 Owner Occupied Homeowners,15.900%,15.900%,72695887,143688,457206835,30.000%,6.100%,rate_change,ALSE-134603603,Filed,2025-07-14,output/pdfs/CO/134603603/filing_summary.pdf
CO,09/04/2025,Allstate Property and Casualty Insurance Company,04.0 Homeowners,04.0003 Owner Occupied Homeowners,2.800%,2.800%,407265,3705,14545188,2.900%,2.200%,rate_change,ALSE-134604410,Filed,2025-07-14,output/pdfs/CO/134604410/filing_summary.pdf
CO,09/04/2025,Allstate Insurance Company,04.0 Homeowners,04.0003 Owner Occupied Homeowners,12.000%,12.000%,2970856,7645,24757133,12.400%,7.900%,rate_change,ALSE-134604433,Filed,2025-07-14,output/pdfs/CO/134604433/filing_summary.pdf
CO,09/04/2025,Allstate Indemnity Company,04.0 Homeowners,04.0003 Owner Occupied Homeowners,6.500%,6.500%,427475,1706,6576532,6.700%,5.400%,rate_change,ALSE-134604451,Filed,2025-07-14,output/pdfs/CO/134604451/filing_summary.pdf
CO,09/29/2025,Allstate Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,0,31819480,0.000%,0.000%,rate_change,ALSE-134629407,Filed,2025-08-05,output/pdfs/CO/134629407/filing_summary.pdf
CO,09/29/2025,Allstate Property and Casualty Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,0,19152153,0.000%,0.000%,rate_change,ALSE-134629407,Filed,2025-08-05,output/pdfs/CO/134629407/filing_summary.pdf
CO,09/29/2025,Allstate Indemnity Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,0,13832315,0.000%,0.000%,rate_change,ALSE-134629407,Filed,2025-08-05,output/pdfs/CO/134629407/filing_summary.pdf
CO,10/31/2025,Allstate North American Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),,-3.700%,-845422,14339,22849234,3.400%,-25.800%,rate_change,ALSE-134660932,Filed,2025-09-04,output/pdfs/CO/134660932/filing_summary.pdf
