state,line,our_serff_tracking_number,our_subsidiary,our_effective_date,our_impact,our_policyholders,matched_ambest_subsidiary,ambest_effective_date,ambest_impact,ambest_policyholders,agreed_subsidiary,agreed_impact,agreed_eff_date,agreed_policyholders,match_strength
OR,PPA,LBPM-133955884,Safeco Insurance Company of Illinois,01/20/2024,0.000%,0,,,,,,,,,none
OR,PPA,LBPM-133994900,Safeco Insurance Company of Oregon,06/21/2024,30.400%,8408,,,,,,,,,none
OR,PPA,LBPM-134116492,Safeco Insurance Company of Illinois,05/30/2024,-15.000%,841,,,,,,,,,none
OR,PPA,LBPM-134157767,Safeco Insurance Company of Oregon,08/31/2024,-5.000%,169307,,,,,,,,,none
OR,PPA,LBPM-134491645,Safeco Insurance Company of Oregon,06/21/2025,12.300%,7299,Safeco Insurance Company of Oregon,06/21/25,12.3,,True,True,True,,direct
OR,PPA,LBPM-134586842,Safeco Insurance Company of Oregon,08/31/2025,-2.000%,64985,Safeco Insurance Company of Oregon,08/31/25,-2.0,,True,True,True,,direct
OR,PPA,LBPM-134586929,Safeco Insurance Company of Illinois,07/20/2025,-4.000%,12059,Safeco Insurance Company of Illinois,07/20/25,-4.0,,True,True,True,,direct
OR,PPA,LBPM-134733690,Safeco Insurance Company of Illinois,01/19/2026,0.000%,20837,Safeco Insurance Company of Illinois,01/19/26,0.0,,True,True,True,,direct
OR,PPA,LBPM-134745304,Safeco Insurance Company of Illinois,12/18/2025,-3.000%,19230,Safeco Insurance Company of Illinois,12/18/25,-3.0,,True,True,True,,direct
OR,PPA,SFMA-133807568,State Farm Fire and Casualty Company,01/01/2024,0.000%,25385,,,,,,,,,none
OR,PPA,SFMA-133807568,State Farm Mutual Automobile Insurance Company,01/01/2024,0.000%,802730,,,,,,,,,none
OR,PPA,SFMA-134076665,State Farm Fire and Casualty Company,08/01/2024,0.000%,1371,,,,,,,,,none
OR,PPA,SFMA-134076665,State Farm Mutual Automobile Insurance Company,08/01/2024,0.000%,27683,,,,,,,,,none
OR,PPA,SFMA-134232601,State Farm Fire and Casualty Company,11/11/2024,0.000%,36387,,,,,,,,,none
OR,PPA,SFMA-134232601,State Farm Mutual Automobile Insurance Company,11/11/2024,0.500%,962297,,,,,,,,,none
OR,PPA,SFMA-134294129,State Farm Fire and Casualty Company,04/15/2025,0.000%,31655,State Farm Fire and Casualty Company,04/15/25,0.0,,True,True,True,,direct
OR,PPA,SFMA-134294129,State Farm Mutual Automobile Insurance Company,04/15/2025,0.000%,875163,State Farm Mutual Automobile Insurance Company,04/15/25,0.0,,True,True,True,,direct
OR,PPA,SFMA-134491344,State Farm Fire and Casualty Company,06/01/2025,0.000%,36387,State Farm Fire and Casualty Company,06/01/25,0.0,,True,True,True,,direct
OR,PPA,SFMA-134491344,State Farm Mutual Automobile Insurance Company,06/01/2025,0.000%,962297,State Farm Mutual Automobile Insurance Company,06/01/25,0.0,,True,True,True,,direct
OR,PPA,SFMA-134619497,State Farm Fire and Casualty Company,10/06/2025,-3.600%,33690,State Farm Fire and Casualty Company,10/06/25,-3.6,,True,True,True,,direct
OR,PPA,SFMA-134619497,State Farm Mutual Automobile Insurance Company,10/06/2025,-4.200%,985050,State Farm Mutual Automobile Insurance Company,10/06/25,-4.2,,True,True,True,,direct
OR,PPA,SFMA-134700697,State Farm Fire and Casualty Company,12/15/2025,-3.600%,31896,State Farm Fire and Casualty Company,12/15/25,-3.6,,True,True,True,,direct
OR,PPA,SFMA-134700697,State Farm Mutual Automobile Insurance Company,12/15/2025,-3.600%,1007104,State Farm Mutual Automobile Insurance Company,12/15/25,-3.6,,True,True,True,,direct
