state,line,our_serff_tracking_number,our_subsidiary,our_effective_date,our_impact,our_policyholders,matched_ambest_subsidiary,ambest_effective_date,ambest_impact,ambest_policyholders,agreed_subsidiary,agreed_impact,agreed_eff_date,agreed_policyholders,match_strength
GA,PPA,LBPM-134632964,The First Liberty Insurance Corporation,10/22/2025,11.000%,7451,The First Liberty Insurance Corporation,10/22/25,11.0,7451,True,True,True,True,direct
GA,PPA,LBPM-134632964,Liberty Mutual Personal Insurance Company,10/22/2025,-5.700%,12729,Liberty Mutual Personal Insurance Company,10/22/25,-5.7,12729,True,True,True,True,direct
GA,PPA,GNSC-133940279,"MGA Insurance Company, Inc.",03/24/2024,9.000%,18440,,,,,,,,,none
GA,PPA,GNSC-134053139,"MGA Insurance Company, Inc.",05/02/2024,0.000%,0,,,,,,,,,none
GA,PPA,GNSC-134162462,"MGA Insurance Company, Inc.",07/19/2024,-3.100%,17610,,,,,,,,,none
GA,PPA,GNSC-134236190,"MGA Insurance Company, Inc.",09/19/2024,-5.200%,17352,,,,,,,,,none
GA,PPA,GNSC-134398936,"MGA Insurance Company, Inc.",02/20/2025,-5.900%,14520,"MGA Insurance Company, Inc.",03/20/25,-5.9,14520,True,True,False,True,date_relaxed
GA,PPA,GNSC-134614271,"MGA Insurance Company, Inc.",08/22/2025,0.000%,18600,"MGA Insurance Company, Inc.",08/22/25,0.0,18600,True,True,True,True,direct
GA,PPA,GNSC-134812248,"MGA Insurance Company, Inc.",03/22/2026,2.400%,21576,"MGA Insurance Company, Inc.",03/22/26,2.4,21576,True,True,True,True,direct
GA,PPA,PRGS-133782729,Progressive Advanced Insurance Company,02/02/2024,9.900%,1246,,,,,,,,,none
GA,PPA,PRGS-133782729,Progressive American Insurance Company,02/02/2024,9.900%,2044,,,,,,,,,none
GA,PPA,PRGS-133782729,Progressive Bayside Insurance Company,02/02/2024,9.900%,1255,,,,,,,,,none
GA,PPA,PRGS-133782729,Progressive Choice Insurance Company,02/02/2024,9.900%,53241,,,,,,,,,none
GA,PPA,PRGS-133782729,Progressive Classic Insurance Company,02/02/2024,9.900%,1430,,,,,,,,,none
GA,PPA,PRGS-133782729,Progressive Direct Insurance Company,02/02/2024,9.900%,795,,,,,,,,,none
GA,PPA,PRGS-133782729,Progressive Freedom Insurance Company,02/02/2024,9.900%,34767,,,,,,,,,none
GA,PPA,PRGS-133782729,Progressive Premier Insurance Company of Illinois,02/02/2024,9.900%,350915,,,,,,,,,none
GA,PPA,PRGS-133782729,Progressive Southeastern Insurance Company,02/02/2024,9.900%,1586,,,,,,,,,none
GA,PPA,PRGS-133782729,Progressive Mountain Insurance Company,02/02/2024,9.900%,363752,,,,,,,,,none
GA,PPA,PRGS-133944444,Progressive Premier Insurance Company of Illinois,10/11/2024,0.680%,41575,Progressive Premier Insurance Company of Illinois,08/08/25,0.68,41575,True,True,False,True,date_relaxed
GA,PPA,PRGS-133944444,Progressive Mountain Insurance Company,10/11/2024,3.850%,50425,Progressive Mountain Insurance Company,08/08/25,3.85,50425,True,True,False,True,date_relaxed
GA,PPA,PRGS-134089316,Progressive Advanced Insurance Company,05/11/2024,0.000%,1127,,,,,,,,,none
GA,PPA,PRGS-134089316,Progressive American Insurance Company,05/11/2024,0.000%,1924,,,,,,,,,none
GA,PPA,PRGS-134089316,Progressive Bayside Insurance Company,05/11/2024,0.000%,1171,,,,,,,,,none
GA,PPA,PRGS-134089316,Progressive Choice Insurance Company,05/11/2024,0.000%,62764,,,,,,,,,none
GA,PPA,PRGS-134089316,Progressive Classic Insurance Company,05/11/2024,0.000%,1311,,,,,,,,,none
GA,PPA,PRGS-134089316,Progressive Direct Insurance Company,05/11/2024,0.000%,711,,,,,,,,,none
GA,PPA,PRGS-134089316,Progressive Freedom Insurance Company,05/11/2024,0.000%,38915,,,,,,,,,none
GA,PPA,PRGS-134089316,Progressive Premier Insurance Company of Illinois,05/11/2024,0.000%,365911,,,,,,,,,none
GA,PPA,PRGS-134089316,Progressive Southeastern Insurance Company,05/11/2024,0.000%,1730,,,,,,,,,none
GA,PPA,PRGS-134089316,Progressive Mountain Insurance Company,05/11/2024,0.000%,364307,,,,,,,,,none
GA,PPA,PRGS-134512695,Progressive Advanced Insurance Company,06/23/2025,0.000%,967,Progressive Advanced Insurance Company,06/23/25,0.0,967,True,True,True,True,direct
GA,PPA,PRGS-134512695,Progressive American Insurance Company,06/23/2025,0.000%,1626,Progressive American Insurance Company,06/23/25,0.0,1626,True,True,True,True,direct
GA,PPA,PRGS-134512695,Progressive Bayside Insurance Company,06/23/2025,0.000%,427,Progressive Bayside Insurance Company,06/23/25,0.0,427,True,True,True,True,direct
GA,PPA,PRGS-134512695,Progressive Choice Insurance Company,06/23/2025,0.000%,125188,Progressive Choice Insurance Company,06/23/25,0.0,125188,True,True,True,True,direct
GA,PPA,PRGS-134512695,Progressive Classic Insurance Company,06/23/2025,0.000%,575,Progressive Classic Insurance Company,06/23/25,0.0,575,True,True,True,True,direct
GA,PPA,PRGS-134512695,Progressive Direct Insurance Company,06/23/2025,0.000%,597,Progressive Direct Insurance Company,06/23/25,0.0,597,True,True,True,True,direct
GA,PPA,PRGS-134512695,Progressive Freedom Insurance Company,06/23/2025,0.000%,75215,Progressive Freedom Insurance Company,06/23/25,0.0,75215,True,True,True,True,direct
GA,PPA,PRGS-134512695,Progressive Premier Insurance Company of Illinois,06/23/2025,0.000%,450732,Progressive Premier Insurance Company of Illinois,06/23/25,0.0,450732,True,True,True,True,direct
GA,PPA,PRGS-134512695,Progressive Southeastern Insurance Company,06/23/2025,0.000%,1579,Progressive Southeastern Insurance Company,06/23/25,0.0,1579,True,True,True,True,direct
