state,line,our_serff_tracking_number,our_subsidiary,our_effective_date,our_impact,our_policyholders,matched_ambest_subsidiary,ambest_effective_date,ambest_impact,ambest_policyholders,agreed_subsidiary,agreed_impact,agreed_eff_date,agreed_policyholders,match_strength
AZ,PPA,PRGS-134609556,Progressive Advanced Insurance Company,07/18/2025,1.400%,474467,,,,,,,,,none
AZ,PPA,PRGS-134609556,Progressive Preferred Insurance Company,07/18/2025,-1.500%,274488,,,,,,,,,none
AZ,PPA,PRGS-134736377,Progressive Advanced Insurance Company,12/19/2025,-5.100%,475831,,,,,,,,,none
AZ,PPA,PRGS-134736377,Progressive Preferred Insurance Company,12/19/2025,-4.600%,274897,,,,,,,,,none
AZ,PPA,LBPM-134054846,Safeco Insurance Company of America,12/02/2024,7.000%,60264,,,,,,,,,none
AZ,PPA,LBPM-134184840,Safeco Insurance Company of Illinois,11/08/2024,12.500%,11381,,,,,,,,,none
AZ,PPA,LBPM-134450381,Safeco Insurance Company of America,04/19/2025,-0.005%,40405,Safeco Insurance Company of America,04/19/25,-0.005,40405,True,True,True,True,direct
AZ,PPA,LBPM-134475059,Safeco Insurance Company of America,04/19/2025,9.600%,3813,Safeco Insurance Company of America,04/19/25,9.6,3813,True,True,True,True,direct
AZ,PPA,LBPM-134520103,Safeco Insurance Company of America,05/29/2025,-5.000%,40405,,,,,,,,,none
AZ,PPA,LBPM-134666117,Safeco Insurance Company of Illinois,11/08/2025,10.000%,10716,,,,,,,,,none
AZ,PPA,SFMA-133807333,State Farm Fire and Casualty Company,01/01/2024,0.000%,39521,,,,,,,,,none
AZ,PPA,SFMA-133807333,State Farm Mutual Automobile Insurance Company,01/01/2024,0.000%,974877,,,,,,,,,none
AZ,PPA,SFMA-134066869,State Farm Fire and Casualty Company,06/17/2024,0.000%,2342,,,,,,,,,none
AZ,PPA,SFMA-134066869,State Farm Mutual Automobile Insurance Company,06/17/2024,0.100%,26565,,,,,,,,,none
AZ,PPA,SFMA-134066907,State Farm Fire and Casualty Company,06/17/2024,3.400%,65235,,,,,,,,,none
AZ,PPA,SFMA-134066907,State Farm Mutual Automobile Insurance Company,06/17/2024,4.700%,1179891,,,,,,,,,none
AZ,PPA,SFMA-134083631,State Farm Mutual Automobile Insurance Company,08/01/2024,0.000%,26581,,,,,,,,,none
AZ,PPA,SFMA-134083631,State Farm Fire and Casualty Company,08/01/2024,0.000%,2346,,,,,,,,,none
AZ,PPA,SFMA-134114374,State Farm Fire and Casualty Company,04/21/2025,7.100%,2629,,,,,,,,,none
AZ,PPA,SFMA-134114374,State Farm Mutual Automobile Insurance Company,04/21/2025,8.700%,27078,,,,,,,,,none
AZ,PPA,SFMA-134114404,State Farm Fire and Casualty Company,04/21/2025,1.300%,71949,,,,,,,,,none
AZ,PPA,SFMA-134114404,State Farm Mutual Automobile Insurance Company,04/21/2025,-2.600%,1218335,,,,,,,,,none
AZ,PPA,SFMA-134294865,State Farm Fire and Casualty Company,04/15/2025,0.000%,64696,State Farm Fire and Casualty Company,04/15/25,0.0,64696,True,True,True,True,direct
AZ,PPA,SFMA-134294865,State Farm Mutual Automobile Insurance Company,04/15/2025,0.000%,1112619,State Farm Mutual Automobile Insurance Company,04/15/25,0.0,1112619,True,True,True,True,direct
AZ,PPA,SFMA-134688027,State Farm Fire and Casualty Company,11/01/2025,-5.000%,67377,,,,,,,,,none
AZ,PPA,SFMA-134688027,State Farm Mutual Automobile Insurance Company,11/01/2025,-9.400%,1298752,,,,,,,,,none
AZ,PPA,TRVD-133942585,Travelers Property Casualty Insurance Company,02/18/2024,0.000%,46621,,,,,,,,,none
AZ,PPA,TRVD-133957101,Travelers Property Casualty Insurance Company,02/18/2024,8.000%,46621,,,,,,,,,none
AZ,PPA,TRVD-G134412795,Travelers Property Casualty Insurance Company,03/07/2025,0.700%,51326,Travelers Property Casualty Insurance Company,03/07/25,0.7,51326,True,True,True,True,direct
AZ,PPA,TRVD-G134669174,Travelers Property Casualty Insurance Company,09/19/2025,-3.000%,52539,,,,,,,,,none
