state,line,our_serff_tracking_number,our_subsidiary,our_effective_date,our_impact,our_policyholders,matched_ambest_subsidiary,ambest_effective_date,ambest_impact,ambest_policyholders,agreed_subsidiary,agreed_impact,agreed_eff_date,agreed_policyholders,match_strength
UT,PPA,LBPM-134147313,Safeco Insurance Company of Illinois,07/20/2024,-13.000%,51714,,,,,,,,,none
UT,PPA,LBPM-134179869,Safeco Insurance Company of Illinois,10/27/2024,14.600%,9047,,,,,,,,,none
UT,PPA,LBPM-134185145,Safeco Insurance Company of Illinois,10/27/2024,14.600%,9047,,,,,,,,,none
UT,PPA,LBPM-134386267,Safeco Insurance Company of Illinois,01/01/2025,0.000%,50202,,,,,,,,,none
UT,PPA,LBPM-134525495,Safeco Insurance Company of Illinois,07/08/2025,0.000%,16348,,,,,,,,,none
UT,PPA,LBPM-134654157,Safeco Insurance Company of Illinois,10/27/2025,9.700%,8739,Safeco Insurance Company of Illinois,09/15/25,9.7,8739,True,True,False,True,date_relaxed
UT,PPA,LBPM-134829691,Safeco Insurance Company of Illinois,03/10/2026,3.000%,11639,Safeco Insurance Company of Illinois,02/18/26,3.0,11639,True,True,False,True,date_relaxed
UT,PPA,SFMA-133807660,State Farm Fire and Casualty Company,01/01/2024,0.000%,12353,,,,,,,,,none
UT,PPA,SFMA-133807660,State Farm Mutual Automobile Insurance Company,01/01/2024,0.000%,434051,,,,,,,,,none
UT,PPA,SFMA-133953465,State Farm Fire and Casualty Company,04/01/2024,2.000%,15185,,,,,,,,,none
UT,PPA,SFMA-133953465,State Farm Mutual Automobile Insurance Company,04/01/2024,7.600%,530716,,,,,,,,,none
UT,PPA,SFMA-134084039,State Farm Fire and Casualty Company,08/01/2024,0.000%,1294,,,,,,,,,none
UT,PPA,SFMA-134084039,State Farm Mutual Automobile Insurance Company,08/01/2024,0.000%,18486,,,,,,,,,none
UT,PPA,SFMA-134122438,State Farm Fire and Casualty Company,08/01/2024,0.000%,1294,,,,,,,,,none
UT,PPA,SFMA-134122438,State Farm Mutual Automobile Insurance Company,08/01/2024,0.000%,18486,,,,,,,,,none
UT,PPA,SFMA-134294156,State Farm Fire and Casualty Company,04/15/2025,0.000%,14016,,,,,,,,,none
UT,PPA,SFMA-134294156,State Farm Mutual Automobile Insurance Company,04/15/2025,0.000%,462911,,,,,,,,,none
UT,PPA,SFMA-134298166,State Farm Fire and Casualty Company,01/01/2025,-4.300%,15971,,,,,,,,,none
UT,PPA,SFMA-134298166,State Farm Mutual Automobile Insurance Company,01/01/2025,-1.700%,548179,,,,,,,,,none
UT,PPA,SFMA-134574907,State Farm Fire and Casualty Company,08/25/2025,-1.900%,15062,,,,,,,,,none
UT,PPA,SFMA-134574907,State Farm Mutual Automobile Insurance Company,08/25/2025,-1.900%,560065,,,,,,,,,none
UT,PPA,SFMA-134676709,State Farm Fire and Casualty Company,11/20/2025,-6.900%,14939,State Farm Fire and Casualty Company,10/09/25,-6.9,14939,True,True,False,True,date_relaxed
UT,PPA,SFMA-134676709,State Farm Mutual Automobile Insurance Company,11/20/2025,-6.000%,584013,State Farm Mutual Automobile Insurance Company,10/09/25,-6.0,584013,True,True,False,True,date_relaxed
UT,PPA,ALSE-134520039,Allstate Fire and Casualty Insurance Company,05/12/2025,18.600%,9260,Allstate Fire and Casualty Insurance Company,06/04/25,18.6,9260,True,True,False,True,reclassified
