timestamp,state,term,outcome,duration_s,n_doc_responses,last_doc_status,retry_after
2026-06-10T11:46:51.433,GA,liberty mutual,ok,3.5,4,200,
2026-06-10T11:46:59.950,GA,liberty mutual,ok,3.6,4,200,
2026-06-10T11:47:09.120,GA,liberty mutual,ok,3.6,4,200,
2026-06-10T11:47:17.887,GA,liberty mutual,ok,3.4,4,200,
2026-06-10T11:47:53.893,GA,liberty mutual,begin_search_link_timeout,30.6,1,405,
2026-06-10T11:48:24.559,GA,liberty mutual,begin_search_link_timeout,30.6,1,405,
2026-06-10T11:48:55.277,GA,liberty mutual,begin_search_link_timeout,30.6,1,405,
2026-06-10T11:48:59.024,GA,liberty mutual,ok,3.6,4,200,
2026-06-10T11:49:07.771,GA,liberty mutual,ok,3.5,4,200,
2026-06-10T11:49:16.628,GA,liberty mutual,ok,3.5,4,200,
2026-06-10T11:49:25.276,GA,liberty mutual,ok,3.5,4,200,
2026-06-10T11:49:34.209,GA,liberty mutual,ok,3.7,4,200,
2026-06-10T11:50:20.122,GA,liberty mutual,begin_search_link_timeout,30.4,1,405,
2026-06-10T11:50:50.977,GA,liberty mutual,begin_search_link_timeout,30.7,1,405,
2026-06-10T11:51:22.080,GA,liberty mutual,begin_search_link_timeout,31.0,1,405,
2026-06-10T11:51:52.868,GA,liberty mutual,begin_search_link_timeout,30.6,1,405,
2026-06-10T11:51:57.067,GA,liberty mutual,ok,4.1,4,200,
2026-06-10T11:52:06.291,GA,liberty mutual,ok,3.7,4,200,
2026-06-10T11:52:15.522,GA,liberty mutual,ok,3.7,4,200,
2026-06-10T11:52:24.734,GA,liberty mutual,ok,3.6,4,200,
2026-06-10T11:52:34.006,GA,liberty mutual,ok,3.7,4,200,
2026-06-10T11:52:43.260,GA,liberty mutual,ok,3.7,4,200,
2026-06-10T11:52:52.388,GA,safeco,ok,3.6,4,200,
2026-06-10T11:53:00.115,GA,safeco,business_type_select_failed,2.4,3,405,
2026-06-10T11:53:30.697,GA,safeco,begin_search_link_timeout,30.4,1,405,
2026-06-10T11:54:01.471,GA,safeco,begin_search_link_timeout,30.6,1,405,
2026-06-10T11:54:32.390,GA,safeco,begin_search_link_timeout,30.7,1,405,
2026-06-10T11:54:36.295,GA,safeco,ok,3.8,4,200,
2026-06-10T11:54:45.253,GA,safeco,ok,3.6,4,200,
2026-06-10T11:54:54.216,GA,safeco,ok,3.6,4,200,
2026-06-10T11:55:03.872,GA,safeco,ok,3.6,4,200,
2026-06-10T11:55:13.467,GA,safeco,ok,3.8,4,200,
2026-06-10T11:55:22.337,GA,safeco,ok,3.7,4,200,
2026-06-10T11:56:00.432,GA,safeco,results_timeout,32.7,3,200,
