date,game_id,home_team,away_team,venue,home_edge_score,away_edge_score,edge_diff,ou_score,ou_convergence_boost,model_total,actual_total,home_score,away_score,home_won,bet_signal,bet_side,model_win_prob,diff_signal,diff_side,ou_signal,ml_result,diff_result,ou_result
2025-05-04,778050,Los Angeles Angels,Detroit Tigers,Angel Stadium,59.03,46.04,13.0,55.3,0.0,8.9,14,1,13,False,NO BET,,,HOME,HOME,NO BET,NO BET,LOSS,NO BET
2025-05-04,778058,Cincinnati Reds,Washington Nationals,Great American Ball Park,57.9,53.77,4.1,54.1,0.0,8.7,5,1,4,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-04,778060,Atlanta Braves,Los Angeles Dodgers,Truist Park,60.77,52.72,8.1,53.1,0.0,8.6,7,4,3,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-05,778047,Miami Marlins,Los Angeles Dodgers,loanDepot park,37.04,58.1,21.1,58.1,0.0,9.2,11,4,7,False,NO BET,,,AWAY,AWAY,NO BET,NO BET,WIN,NO BET
2025-05-05,778045,New York Yankees,San Diego Padres,Yankee Stadium,42.93,74.41,31.5,54.7,0.0,8.7,7,3,4,False,AWAY,AWAY,0.636,NO BET,,NO BET,WIN,NO BET,NO BET
2025-05-05,778049,Atlanta Braves,Cincinnati Reds,Truist Park,47.43,60.61,13.2,54.7,0.0,8.8,4,4,0,True,NO BET,,,AWAY,AWAY,NO BET,NO BET,LOSS,NO BET
2025-05-05,778044,Chicago Cubs,San Francisco Giants,Wrigley Field,43.07,26.96,16.1,62.6,0.0,9.8,11,9,2,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET
2025-05-05,778043,Kansas City Royals,Chicago White Sox,Kauffman Stadium,66.51,42.55,24.0,55.6,0.0,8.9,3,3,0,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET
2025-05-05,778042,Milwaukee Brewers,Houston Astros,American Family Field,73.88,60.2,13.7,36.6,-15.0,7.7,6,5,1,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET
2025-05-05,778036,St. Louis Cardinals,Pittsburgh Pirates,Busch Stadium,56.06,53.84,2.2,53.2,0.0,8.7,9,6,3,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-05,778039,Arizona Diamondbacks,New York Mets,Chase Field,46.91,38.8,8.1,58.7,0.0,9.3,9,4,5,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-05,778038,Athletics,Seattle Mariners,Sutter Health Park,43.18,53.12,9.9,56.7,0.0,9.1,13,7,6,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-06,778026,Washington Nationals,Cleveland Guardians,Nationals Park,41.6,24.37,17.2,63.5,0.0,9.9,19,10,9,True,HOME,HOME,0.5233,NO BET,,NO BET,WIN,NO BET,NO BET
2025-05-06,778046,Washington Nationals,Cleveland Guardians,Nationals Park,49.2,29.28,19.9,61.3,0.0,9.6,10,1,9,False,NO BET,,,HOME,HOME,NO BET,NO BET,LOSS,NO BET
2025-05-06,778035,Miami Marlins,Los Angeles Dodgers,loanDepot park,45.74,54.43,8.7,55.8,0.0,9.0,9,5,4,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-06,778037,Boston Red Sox,Texas Rangers,Fenway Park,55.4,53.06,2.3,53.5,0.0,8.7,7,1,6,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-06,778040,Tampa Bay Rays,Philadelphia Phillies,George M. Steinbrenner Field,50.63,46.06,4.6,56.1,0.0,9.0,12,4,8,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-05-06,778041,New York Yankees,San Diego Padres,Yankee Stadium,31.03,58.58,27.5,59.8,0.0,9.4,15,12,3,True,NO BET,,,AWAY,AWAY,NO BET,NO BET,LOSS,NO BET
